"year","landfill_site","volume_filled_start_year","area_filled_start_year","volume_free_end_year","area_free_end_year","total_disposal_capacity","remaining_capacity_start_year","remaining_capacity_end_year","start_date_disposal","end_date_disposal"
2021,"Landfill 1",113.888,1500,111.508,1650,672.591,177.366,173.658,"02.10.2015","01.04.2038"
2021,"Landfill 2",44.939,0,30.798,0,103.6,39.17,43.117,"01.07.2017","31.12.2024"
2021,"Landfill 3",684.674,20676,665.387,19286,1355,607.083,579.58,"39114","31.12.2032"
2021,"Landfill 4",25.047,16972,176.422,16972,188.51,130.822,123.495,"3.5.2010","31.12.2035"
2021,"Landfill 5",174.135,26800,174.135,26800,456.114,218.173,218.173,"1.7.2003","1.1.2037"
2021,"Landfill 6",55.45,6875,11.875,2920,25.818,3.147,22.997,"17.12.2021","31.12.2021"
2021,"Landfill 7",48.732,1090,10.368,11608,118.2,9.484,9.484,"26.05.1988","31.12.2023"
2021,"Landfill 8",237.076,0,228.226,0,2396.39,289.379,289.992,"01.01.2013","31.12.2044"
2021,"Landfill 9",64.877,13550,44.419,13550,84,27.711,22.9,"1.1.2012","31.12.2037"
2021,"Landfill 10a",20.549,9658,17.933,9658,85.185,24.658,21.52,"10.12.2014","31.12.2024"
2021,"Landfill 10b",7.374,977,7.104,977,5.7,4.605,4.508,"01.12.2015","31.12.2023"
2021,"Landfill 11",18.8,780,18.795,780,35,9.891,9.27,"11.1.20212","31.12.2025"
2021,"Landfill 12",67.657,4300,47.968,9000,213,77.543,77.517,"20.12.1996","1.1.2121"
2021,"Landfill 13",2330.433,67665,1228.724,111456,3723,1374.299,1329.616,"1.1.2021","31.12.2021"
2021,"Landfill 14",573.371,33795,69.431,11010,713.957,94.597,68.72,"26.10.1996","30.06.2024"
2021,"Landfill 15",40.286,7890,67.416,4310,102.6,69.702,64.046,"03.08.2015","31.12.2031"
2021,"Landfill 16",20.762,5000,2.866,2030,49,25.283,20.283,"01.04.2016","24.09.2027"
