"Leto","Poročilo","Proizveden kompost/digestat","Kakovostni razred","Proizvedena količina kg","Količina oddana v nadaljnje ravnanje ali dana na trg kg","Vrsta uporabe"
2023,"ODP-obdelava","1 –  kompost (proizvod)","1 – 1. kakovostni razred",21680218,21582864,"1 – vnos v ali na tla na kmetijskih zemljiščih"
2023,"ODP-obdelava","1 –  kompost (proizvod)","1 – 1. kakovostni razred",17044341,12766732,"2 – vnos v ali na tla na nekmetijskih zemljiščih"
2023,"ODP-obdelava","1 –  kompost (proizvod)","1 – 1. kakovostni razred",2600000,2539030,"3 – za pripravo substrata"
2023,"ODP-obdelava","1 –  kompost (proizvod)","1 – 1. kakovostni razred",746540,0,NA
2023,"ODP-obdelava","2 –  digestat (proizvod)","1 – 1. kakovostni razred",152180154,146837970,"1 – vnos v ali na tla na kmetijskih zemljiščih"
2023,"ODP-obdelava","3 –  19 05 03 (kompost)","1 – 1. kakovostni razred",194720,194720,"2 – vnos v ali na tla na nekmetijskih zemljiščih"
2023,"ODP-obdelava","3 –  19 05 03 (kompost)","2 – 2. kakovostni razred",1112160,634180,"2 – vnos v ali na tla na nekmetijskih zemljiščih"
2023,"ODP-obdelava","3 –  19 05 03 (kompost)","2 – 2. kakovostni razred",2099260,2263380,"4 – v nadaljnjo obdelavo odpadkov"
2023,"ODP-obdelava","3 –  19 05 03 (kompost)","2 – 2. kakovostni razred",349800,0,NA
2023,"ODP-obdelava","3 –  19 05 03 (kompost)","3 – ne ustreza specifikaciji",1696720,1696720,"4 – v nadaljnjo obdelavo odpadkov"
2023,"ODP-obdelava","5 –  19 06 06 (digestat iz anaerobne obdelave živalskih in rastlinskih odpadkov)","3 – ne ustreza specifikaciji",510609,483289,"4 – v nadaljnjo obdelavo odpadkov"
